"Assembly"	"X..contigs.....1000.bp."	"X..contigs.....5000.bp."	"X..contigs.....10000.bp."	"X..contigs.....25000.bp."	"X..contigs.....50000.bp."	"Total.length.....1000.bp."	"Total.length.....5000.bp."	"Total.length.....10000.bp."	"Total.length.....25000.bp."	"Total.length.....50000.bp."	"X..contigs"	"Largest.contig"	"Total.length"	"Reference.length"	"GC...."	"Reference.GC...."	"N50"	"NG50"	"N75"	"NG75"	"L50"	"LG50"	"L75"	"LG75"	"X..misassemblies"	"X..misassembled.contigs"	"Misassembled.contigs.length"	"X..local.misassemblies"	"X..unaligned.contigs"	"Unaligned.length"	"Genome.fraction...."	"Duplication.ratio"	"X..N.s.per.100.kbp"	"X..mismatches.per.100.kbp"	"X..indels.per.100.kbp"	"X..predicted.genes..unique."	"X..predicted.genes.....0.bp."	"X..predicted.genes.....300.bp."	"X..predicted.genes.....1500.bp."	"X..predicted.genes.....3000.bp."	"Largest.alignment"	"NA50"	"NGA50"	"NA75"	"NGA75"	"LA50"	"LGA50"	"LA75"	"LGA75"	"gid"	"label"	"refLength"	"refMapping"	"abundance"	"gc"	"group"	"refGenes"	"assemblerGroup"	"normalized.misassemblies.per.MB"	"normalized.mismatches.per.100.kbp"	"cov"	"genomeFractionNormalized"
"Gold_Standard_3"	43	37	36	30	28	5000320	4990867	4982345	4874037	4812397	48	380716	5003879	5012290	64.89	64.87	273776	"273776"	104493	"104493"	8	"8"	16	"16"	0	0	0	0	"0 + 0 part"	0	99.832	1	0.32	0	0	4609	4610	4262	642	62	380716	273776	273776	104493	"104493"	8	"8"	16	"16"	"1021_F"	NA	5012290	365367	58.0249	NA	"uniq"	4620	"1"	0	0	10.9341338988766	0.0207633921333333
"Gold_Standard_3"	63	50	46	37	28	6234932	6200465	6169848	6028150	5712416	74	483473	6242264	6255411	59.99	59.96	252677	"252677"	141548	"141548"	9	"9"	17	"17"	0	0	0	0	"0 + 0 part"	0	99.79	1	2.19	0	0	5675	5675	5144	787	77	483473	252677	252677	141548	"141548"	9	"9"	17	"17"	"1021_G"	NA	6255411	450082	56.778	NA	"uniq"	5643	"1"	0	0	10.7926241776919	0.0134568163513514
"Gold_Standard_3"	53	43	42	40	36	6942882	6924712	6918990	6895236	6732395	58	513154	6946445	7485824	62.35	62.22	249305	"246543"	155870	"138984"	11	"12"	20	"23"	0	0	0	0	"0 + 0 part"	0	92.795	1	1.35	0	0	6614	6614	5899	832	72	513154	249305	246543	155870	"138984"	11	"12"	20	"23"	"1021_H"	NA	7485824	313754	33.2517	NA	"strain"	7024	"1"	0	0	6.28696319870732	0.0148464000431034
"Gold_Standard_3"	87	69	67	53	41	7984648	7956162	7943468	7716183	7257947	100	513165	7993843	7484184	62.14	62.22	196262	"200112"	109587	"141620"	12	"11"	25	"22"	0	0	0	0	"0 + 0 part"	0	99.826	1.07	1.54	0	0	7168	7663	6802	934	85	513165	196262	200112	109587	"141620"	12	"11"	25	"22"	"1021_I"	NA	7484184	955189	100.89	NA	"strain"	7012	"1"	0	0	19.1441511860211	0.009965230276
"Gold_Standard_3"	60	47	43	33	29	5225694	5193789	5164539	5026011	4875730	68	513144	5231429	5245430	63.81	63.79	228613	"228613"	112061	"112061"	7	"7"	16	"16"	0	0	0	0	"0 + 0 part"	0	99.733	1	1.99	0	0	5143	5143	4561	625	53	513144	228613	228613	112061	"112061"	7	"7"	16	"16"	"1021_L"	NA	5245430	211662	31.6928	NA	"uniq"	5051	"1"	0	0	6.05275449295863	0.0146274577779412
"Gold_Standard_3"	42	36	32	26	21	5844409	5830829	5800421	5710861	5512671	43	966576	5845036	5855745	65.37	65.34	374226	"374226"	180566	"180566"	5	"5"	11	"11"	0	0	0	0	"0 + 0 part"	0	99.817	1	0.26	0	0	5710	5710	5197	658	51	966576	374226	374226	180566	"180566"	5	"5"	11	"11"	"1021_M"	NA	5855745	692043	94.6748	NA	"strain"	5658	"1"	0	0	17.7272832064921	0.023170775555814
"Gold_Standard_3"	103	75	71	59	42	7907168	7849468	7817961	7640171	7022408	113	585317	7914286	7896201	61.02	61	221191	"221191"	87331	"94091"	12	"12"	28	"27"	0	0	0	0	"0 + 0 part"	0	99.799	1.004	3.12	0	0	7666	7702	6641	890	77	585317	221191	221191	87331	"94091"	12	"12"	28	"27"	"1021_N"	NA	7896201	517887	51.7907	NA	"strain"	7553	"1"	0	0	9.83802843924566	0.0088140180539823
"Gold_Standard_3"	25	22	21	21	19	6494713	6488224	6480401	6480401	6403583	31	769383	6499522	6506910	67.43	67.4	450356	"450356"	274012	"274012"	6	"6"	10	"10"	0	0	0	0	"0 + 0 part"	0	99.886	1	0.48	0	0	6147	6147	5635	821	71	769383	450356	450356	274012	"274012"	6	"6"	10	"10"	"1021_O"	NA	6506910	1671671	202.88	NA	"uniq"	6204	"1"	0	0	38.5360562847803	0.0321845580516129
"Gold_Standard_3"	36	27	27	27	23	5429412	5409502	5409502	5409502	5267739	38	1573909	5430875	5437308	69.37	69.33	311714	"311714"	153571	"153571"	4	"4"	11	"11"	0	0	0	0	"0 + 0 part"	0	99.791	1.001	0.83	0	0	5196	5201	4789	705	79	1573909	311714	311714	153571	"153571"	4	"4"	11	"11"	"1021_Q"	NA	5437308	323171	46.6527	NA	"strain"	5201	"1"	0	0	8.91537687399721	0.0262059044236842
"Gold_Standard_3"	91	68	64	50	36	7730147	7688420	7660300	7411947	6889093	114	1024190	7746215	7762249	61.12	61.1	294361	"294361"	102822	"101892"	9	"9"	22	"23"	0	0	0	0	"0 + 0 part"	0	99.752	1	2.67	0	0	7546	7547	6512	882	70	1024190	294361	294361	102822	"101892"	9	"9"	22	"23"	"1021_R"	NA	7762249	1140715	116.666	NA	"strain"	7408	"1"	0	0	22.0435147081729	0.00872847500350877
"Gold_Standard_3"	45	35	31	24	20	5446888	5428074	5397070	5289047	5114609	56	770181	5454286	5466160	58.12	58.1	357813	"357813"	154666	"154666"	5	"5"	10	"10"	0	0	0	0	"0 + 0 part"	0	99.783	1	1.5	0	0	5213	5213	4659	693	75	770181	357813	357813	154666	"154666"	5	"5"	10	"10"	"1021_S"	NA	5466160	505022	73.4433	NA	"uniq"	5225	"1"	0	0	13.858595430796	0.0177797269446429
"Gold_Standard_3"	10	8	7	7	7	3458532	3451326	3445752	3445752	3445752	11	944396	3459304	3465864	69.79	69.74	832977	"832977"	388866	"388866"	2	"2"	4	"4"	0	0	0	0	"0 + 0 part"	0	99.811	1	0.2	0	0	3157	3157	2925	480	54	944396	832977	832977	388866	"388866"	2	"2"	4	"4"	"1021_T"	NA	3465864	501479	114.122	NA	"uniq"	3171	"1"	0	0	21.7036358033668	0.0905657792818182
"Gold_Standard_3"	41	27	26	24	20	5800943	5779316	5773965	5727022	5573315	49	992879	5806497	5816873	65.96	65.93	358902	"358902"	172057	"172057"	4	"4"	11	"11"	0	0	0	0	"0 + 0 part"	0	99.822	1	1.6	0	0.02	5331	5332	4993	724	74	992879	358902	358902	172057	"172057"	4	"4"	11	"11"	"1021_U"	NA	5816873	770799	104.619	NA	"uniq"	5302	"1"	0	0	19.8766330294645	0.0203355748653061
"Gold_Standard_3"	22	18	17	15	14	4936719	4931174	4925533	4903729	4876444	24	693765	4938401	4944693	71.43	71.4	490916	"490916"	397248	"397248"	5	"5"	7	"7"	0	0	0	0	"0 + 0 part"	0	99.873	1	0.51	0	0	4549	4549	4191	663	71	693765	490916	490916	397248	"397248"	5	"5"	7	"7"	"1021_W"	NA	4944693	494129	78.7977	NA	"uniq"	4557	"1"	0	0	14.9896768110781	0.0415609005375
"Gold_Standard_3"	30	21	18	17	16	5523415	5504039	5483804	5470767	5439298	40	638956	5530218	5535645	33.74	33.74	432996	"432996"	356559	"356559"	6	"6"	9	"9"	0	0	0	0	"0 + 0 part"	0	99.902	1	1.28	0	0	4696	4696	4346	840	152	638956	432996	432996	356559	"356559"	6	"6"	9	"9"	"1021_Y"	NA	5535645	644343	93.3988	NA	"uniq"	4730	"1"	0	0	17.4598353037451	0.02495102401
"Gold_Standard_3"	30	24	23	18	16	3097428	3086927	3081553	2998986	2931242	31	894688	3098414	3099673	67.56	67.56	235860	"235860"	111059	"111059"	4	"4"	9	"9"	0	0	0	0	"0 + 0 part"	0	99.959	1	0	0	0	2876	2879	2634	451	51	894688	235860	235860	111059	"111059"	4	"4"	9	"9"	"1030704"	NA	3099673	161768	41.0336	NA	"uniq"	2887	"1"	0	0	7.82830963137079	0.0322316183258065
"Gold_Standard_3"	75	60	53	40	29	3980756	3937585	3887845	3667620	3288778	75	655105	3980756	3987434	53.6	53.6	103576	"103576"	61756	"61756"	10	"10"	24	"24"	0	0	0	0	"0 + 0 part"	0	99.833	1	0	0	0	3528	3530	3098	637	89	655105	103576	103576	61756	"61756"	10	"10"	24	"24"	"1030707"	NA	3987434	679151	135.396	NA	"uniq"	3428	"1"	0	0	25.5484228704475	0.0132888371853333
"Gold_Standard_3"	55	40	36	33	24	4594950	4566505	4535194	4470985	4133756	55	611947	4594950	4598257	63.51	63.51	219231	"219231"	122890	"122890"	8	"8"	15	"15"	0	0	0	0	"0 + 0 part"	0	99.928	1	0	0	0	4217	4232	3877	660	103	611947	219231	219231	122890	"122890"	8	"8"	15	"15"	"1030710"	NA	4598257	201319	34.3729	NA	"uniq"	4228	"1"	0	0	6.56723841229405	0.0181556457890909
"Gold_Standard_3"	20	19	18	13	11	2483130	2479284	2473019	2384932	2310904	20	469654	2483130	2484496	62.65	62.65	194388	"194388"	158816	"158816"	4	"4"	7	"7"	0	0	0	0	"0 + 0 part"	0	99.945	1	0	0	0	2281	2282	2098	397	40	469654	194388	194388	158816	"158816"	4	"4"	7	"7"	"1030713"	NA	2484496	159837	50.7526	NA	"uniq"	2323	"1"	0	0	9.65006584836522	0.049945015125
"Gold_Standard_3"	65	52	49	40	26	4375339	4350361	4332063	4196181	3671937	66	367016	4376331	4384504	56.91	56.9	143193	"143193"	82054	"81815"	10	"10"	20	"21"	0	0	0	0	"0 + 0 part"	0	99.814	1	0	0	0	3905	3905	3379	676	74	367016	143193	143193	82054	"81815"	10	"10"	20	"21"	"1030719"	NA	4384504	160540	28.8099	NA	"strain"	3834	"1"	0	0	5.49229741836249	0.0150952039333333
"Gold_Standard_3"	53	43	34	26	14	3179188	3153720	3088370	2955225	2518383	53	513759	3179188	3179481	58.43	58.43	156300	"156300"	72462	"72462"	5	"5"	12	"12"	0	0	0	0	"0 + 0 part"	0	99.991	1	0	0	0	2888	2888	2614	452	38	513759	156300	156300	72462	"72462"	5	"5"	12	"12"	"1030722"	NA	3179481	1077004	271.503	NA	"uniq"	2895	"1"	0	0	50.8103681072477	0.018864528454717
"Gold_Standard_3"	18	17	17	16	14	3375026	3373367	3373367	3358337	3278968	18	547797	3375026	3376200	60.98	60.98	299408	"299408"	193758	"193758"	5	"5"	8	"8"	0	0	0	0	"0 + 0 part"	0	99.965	1	0	0	0	3099	3100	2814	478	41	547797	299408	299408	193758	"193758"	5	"5"	8	"8"	"1030725"	NA	3376200	293084	68.0094	NA	"uniq"	3119	"1"	0	0	13.0213257508441	0.0555166734722222
"Gold_Standard_3"	21	17	17	14	11	3063189	3055634	3055634	3005659	2891900	21	709758	3063189	3064895	62.72	62.72	397735	"312872"	218188	"218188"	3	"4"	6	"6"	0	0	0	0	"0 + 0 part"	0	99.944	1	0	0	0	2821	2821	2590	425	42	709758	397735	312872	218188	"218188"	3	"4"	6	"6"	"1030731"	NA	3064895	191040	48.8704	NA	"uniq"	2856	"1"	0	0	9.34974933888437	0.0475657292190476
"Gold_Standard_3"	241	147	108	62	29	5026054	4802829	4534331	3807294	2593844	242	197705	5027051	5035329	46.64	46.64	51441	"51441"	26959	"26959"	28	"28"	61	"61"	0	0	0	0	"0 + 0 part"	0	99.836	1	0	0	0.02	4722	4735	4129	656	64	197705	51441	51441	26959	"26959"	28	"28"	61	"61"	"1030734"	NA	5035329	375914	58.8821	NA	"uniq"	4863	"1"	0	0	11.1982950865773	0.0041186888
"Gold_Standard_3"	3	3	3	3	3	3607646	3607646	3607646	3607646	3607646	3	1550327	3607646	3607795	52.7	52.7	1478691	"1478691"	1478691	"1478691"	2	"2"	2	"2"	0	0	0	0	"0 + 0 part"	0	99.996	1	0	0	0	3463	3463	3182	504	47	1550327	1478691	1478691	1478691	"1478691"	2	"2"	2	"2"	"1030743"	NA	3607795	260620	56.7304	NA	"uniq"	3494	"1"	0	0	10.8357043568163	0.3333066672
"Gold_Standard_3"	2	2	2	2	2	3547923	3547923	3547923	3547923	3547923	2	1962724	3547923	3547928	57.36	57.36	1962724	"1962724"	1585199	"1585199"	1	"1"	2	"2"	0	0	0	0	"0 + 0 part"	0	100	1	0	0	0	3421	3421	3156	486	43	1962724	1962724	1962724	1585199	"1585199"	1	"1"	2	"2"	"1030746"	NA	3547928	680365	151.674	NA	"uniq"	3421	"1"	0	0	28.7646057078949	0.5
"Gold_Standard_3"	47	45	42	37	31	4362870	4357653	4334815	4254125	4047735	47	349281	4362870	4365550	63.42	63.42	141834	"141834"	91579	"91579"	10	"10"	20	"20"	0	0	0	0	"0 + 0 part"	0	99.939	1	0	0	0	3923	4061	3629	554	59	349281	141834	141834	91579	"91579"	10	"10"	20	"20"	"1030749"	NA	4365550	231049	41.4768	NA	"uniq"	4001	"1"	0	0	7.9388278681953	0.0212506462148936
"Gold_Standard_3"	8	7	7	6	5	2978743	2977604	2977604	2961754	2924180	8	1597835	2978743	2979481	68.74	68.74	1597835	"1597835"	529448	"529448"	1	"1"	3	"3"	0	0	0	0	"0 + 0 part"	0	99.975	1	0	0	0	2708	2708	2519	454	60	1597835	1597835	1597835	529448	"529448"	1	"1"	3	"3"	"1030758"	NA	2979481	229261	59.8625	NA	"uniq"	2676	"1"	0	0	11.541993387439	0.1249375078125
"Gold_Standard_3"	46	42	39	30	23	3031737	3023040	2999889	2837247	2577037	46	214560	3031737	3034995	67.24	67.24	110641	"110641"	71278	"71278"	11	"11"	19	"19"	0	0	0	0	"0 + 0 part"	0	99.893	1	0	0	0	2675	2675	2445	457	57	214560	110641	110641	71278	"71278"	11	"11"	19	"19"	"1030761"	NA	3034995	89973	23.5333	NA	"uniq"	2635	"1"	0	0	4.44677833077155	0.0216926335847826
"Gold_Standard_3"	32	25	25	25	18	4715983	4700320	4700320	4700320	4453081	32	601328	4715983	4716541	55.17	55.17	359791	"359791"	163410	"163410"	6	"6"	11	"11"	0	0	0	0	"0 + 0 part"	0	99.988	1	0	0	0	4392	4392	3938	616	60	601328	359791	359791	163410	"163410"	6	"6"	11	"11"	"1030764"	NA	4716541	517292	85.7152	NA	"uniq"	4385	"1"	0	0	16.4514206491579	0.03124250045
"Gold_Standard_3"	33	18	16	11	8	1419850	1376698	1364094	1282555	1172479	33	471690	1419850	1424508	34.08	34.08	251185	"251185"	77935	"56681"	2	"2"	6	"7"	0	0	0	0	"0 + 0 part"	0	99.673	1	0	0	0	1433	1433	1241	168	17	471690	251185	251185	77935	"56681"	2	"2"	6	"7"	"1030767"	NA	1424508	57843	31.9884	NA	"uniq"	1445	"1"	0	0	6.09083978468355	0.0301051725121212
"Gold_Standard_3"	35	28	24	20	14	2490127	2471865	2445110	2382342	2160830	35	393896	2490127	2492636	36.68	36.68	170437	"170437"	88122	"88122"	5	"5"	10	"10"	0	0	0	0	"0 + 0 part"	0	99.899	1	0	0	0	2427	2429	2148	274	23	393896	170437	170437	88122	"88122"	5	"5"	10	"10"	"1030770"	NA	2492636	159720	50.1645	NA	"uniq"	2433	"1"	0	0	9.61151166877153	0.0285137434314286
"Gold_Standard_3"	133	108	73	30	10	2559796	2491254	2230346	1517255	838821	134	117314	2560775	2564462	35.13	35.14	31397	"31397"	16445	"16445"	22	"22"	50	"50"	0	0	0	0	"0 + 0 part"	0	99.856	1	0	0	0	2520	2530	2180	297	17	117314	31397	31397	16445	"16445"	22	"22"	50	"50"	"1030773"	NA	2564462	178195	54.4863	NA	"uniq"	2602	"1"	0	0	10.4229464113721	0.00744120950447761
"Gold_Standard_3"	39	29	24	24	20	2880893	2862850	2829135	2829135	2677512	39	261200	2880893	2882101	63.14	63.14	152504	"152504"	106787	"106787"	8	"8"	14	"14"	0	0	0	0	"0 + 0 part"	0	99.958	1	0	0	0	2401	2402	2145	423	38	261200	152504	152504	106787	"106787"	8	"8"	14	"14"	"1030785"	NA	2882101	168554	45.4337	NA	"uniq"	2402	"1"	0	0	8.77245453924064	0.0256194917025641
"Gold_Standard_3"	79	69	62	47	20	3035679	3007687	2953873	2707400	1723973	79	272766	3035679	3038433	72.07	72.07	56896	"56896"	33701	"33701"	17	"17"	33	"33"	0	0	0	0	"0 + 0 part"	0	99.909	1	0	0	0	2860	2869	2535	455	53	272766	56896	56896	33701	"33701"	17	"17"	33	"33"	"1030788"	NA	3038433	177984	45.817	NA	"uniq"	2851	"1"	0	0	8.78663442636385	0.0126352003556962
"Gold_Standard_3"	17	13	13	12	12	4267703	4261584	4261584	4245163	4245163	17	1532100	4267703	4268500	62.16	62.16	512486	"512486"	306200	"306200"	3	"3"	5	"5"	0	0	0	0	"0 + 0 part"	0	99.981	1	0	0	0	3804	3807	3484	625	57	1532100	512486	512486	306200	"306200"	3	"3"	5	"5"	"1030791"	NA	4268500	354188	64.8456	NA	"uniq"	3821	"1"	0	0	12.446573737847	0.0588011785941176
"Gold_Standard_3"	37	25	25	22	19	9417641	9393113	9393113	9331608	9232529	37	1549574	9417641	9420221	49.04	49.04	799030	"799030"	437036	"437036"	5	"5"	8	"8"	0	0	0	0	"0 + 0 part"	0	99.973	1	0	0	0	7579	7579	6940	1613	385	1549574	799030	799030	437036	"437036"	5	"5"	8	"8"	"1030794"	NA	9420221	1109659	93.8806	NA	"uniq"	7794	"1"	0	0	17.6693147644838	0.0270124344027027
"Gold_Standard_3"	62	44	41	36	25	4098205	4056090	4035193	3940746	3530584	63	366650	4099185	4100984	50.96	50.96	147633	"147633"	72727	"72727"	8	"8"	18	"18"	0	0	0	0	"0 + 0 part"	0	99.956	1	0	0	0	3835	3841	3354	528	56	366650	147633	147633	72727	"72727"	8	"8"	18	"18"	"1030797"	NA	4100984	303487	58.6909	NA	"uniq"	3846	"1"	0	0	11.1005188023167	0.0158590506920635
"Gold_Standard_3"	72	43	35	24	17	2324531	2260632	2196174	2014519	1773346	72	240556	2324531	2329397	57.88	57.88	92841	"92841"	50722	"50722"	8	"8"	17	"17"	0	0	0	0	"0 + 0 part"	0	99.791	1	0	0	0.09	2247	2250	1909	270	30	240556	92841	92841	50722	"50722"	8	"8"	17	"17"	"1030803"	NA	2329397	95886	32.369	NA	"uniq"	2160	"1"	0	0	6.17451640918229	0.0138308940013889
"Gold_Standard_3"	171	92	73	32	15	3542728	3373245	3235700	2583447	1955027	176	298254	3547070	3572957	65.29	65.28	65705	"65705"	22612	"21769"	13	"13"	36	"37"	0	0	0	0	"0 + 0 part"	0	99.26	1	0	0	0	3266	3276	2898	496	64	298254	65705	65705	22612	"21769"	13	"13"	36	"37"	"1030809"	NA	3572957	135465	29.7644	NA	"uniq"	3233	"1"	0	0	5.6870961503315	0.00559803840909091
"Gold_Standard_3"	63	47	36	27	25	3559919	3533120	3457182	3302263	3236235	63	358099	3559919	3566528	57.87	57.87	136720	"136720"	88753	"88753"	10	"10"	18	"18"	0	0	0	0	"0 + 0 part"	0	99.815	1	0	0	0	3177	3180	2879	521	46	358099	136720	136720	88753	"88753"	10	"10"	18	"18"	"1030815"	NA	3566528	669071	151.083	NA	"uniq"	3214	"1"	0	0	28.1395940253378	0.0158143400396825
