"Assembly"	"X..contigs.....1000.bp."	"X..contigs.....5000.bp."	"X..contigs.....10000.bp."	"X..contigs.....25000.bp."	"X..contigs.....50000.bp."	"Total.length.....1000.bp."	"Total.length.....5000.bp."	"Total.length.....10000.bp."	"Total.length.....25000.bp."	"Total.length.....50000.bp."	"X..contigs"	"Largest.contig"	"Total.length"	"Reference.length"	"GC...."	"Reference.GC...."	"N50"	"NG50"	"N75"	"NG75"	"L50"	"LG50"	"L75"	"LG75"	"X..misassemblies"	"X..misassembled.contigs"	"Misassembled.contigs.length"	"X..local.misassemblies"	"X..unaligned.contigs"	"Unaligned.length"	"Genome.fraction...."	"Duplication.ratio"	"X..N.s.per.100.kbp"	"X..mismatches.per.100.kbp"	"X..indels.per.100.kbp"	"X..genes"	"X..predicted.genes..unique."	"X..predicted.genes.....0.bp."	"X..predicted.genes.....300.bp."	"X..predicted.genes.....1500.bp."	"X..predicted.genes.....3000.bp."	"Largest.alignment"	"NA50"	"NGA50"	"NA75"	"NGA75"	"LA50"	"LGA50"	"LA75"	"LGA75"	"gid"	"label"	"refLength"	"refMapping"	"abundance"	"gc"	"group"	"refGenes"	"assemblerGroup"	"normalized.misassemblies.per.MB"	"normalized.mismatches.per.100.kbp"	"cov"	"genomeFractionNormalized"
"Gold_Standard_4"	23	20	17	16	14	4107833	4102598	4082988	4065303	3995324	23	1173000	4107833	4107985	65.68	65.68	338314	338314	168710	168710	3	3	7	7	0	0	0	0	"0 + 0 part"	0	99.996	1	0	0	0	"8140 + 49 part"	4076	4078	3664	511	38	1173000	338314	338314	168710	168710	3	3	7	7	"1049005"	NA	4107985	1346963	23.325118	NA	"uniq"	4047	"1"	0	0	49.1833465798926	0.0434747826782609
"Gold_Standard_4"	34	23	19	17	17	3262395	3238250	3213455	3190796	3190796	34	436114	3262395	3268305	35.77	35.77	230814	230814	130012	130012	5	5	9	9	0	0	0	0	"0 + 0 part"	0	99.819	1	0	0	0	"4114 + 46 part"	2822	2827	2624	491	77	436114	230814	230814	130012	130012	5	5	9	9	"1049056"	NA	3268305	1639674	35.774603	NA	"strain"	2832	"1"	0	0	75.253411171846	0.0293053904735294
"Gold_Standard_4"	27	21	17	12	10	3124289	3114198	3084434	2987435	2897665	27	785947	3124289	3125442	68.23	68.22	777941	777941	164316	164316	2	2	5	5	0	0	0	0	"0 + 0 part"	0	99.963	1	0	0	0	"6144 + 87 part"	3006	3011	2766	414	30	785947	777941	777941	164316	164316	2	2	5	5	"1049089"	NA	3125442	150629	3.430328	NA	"uniq"	3018	"1"	0	0	7.22916950626503	0.0370096347
"Gold_Standard_4"	138	99	83	63	43	6707652	6624697	6515258	6162582	5470096	138	269964	6707652	5192961	66.88	66.83	141711	182671	65804	107627	17	12	35	22	0	0	0	0	"0 + 0 part"	0	99.924	1.293	0	0	0	"7043 + 146 part"	5232	6717	5924	834	53	269964	141711	182671	65804	107627	17	12	35	22	"1052944"	NA	5192961	257982	3.538053	NA	"strain"	5133	"1"	0	0	7.4518757217703	0.00723536650434783
"Gold_Standard_4"	48	43	40	34	29	4767044	4755795	4730908	4601901	4439812	48	562414	4767044	4767709	67.04	67.04	183721	183721	101441	101441	10	10	19	19	0	0	0	0	"0 + 0 part"	0	99.986	1	0	0	0	"6473 + 71 part"	4703	4719	4186	601	47	562414	183721	183721	101441	101441	10	10	19	19	"1052947"	NA	4767709	753707	11.249167	NA	"strain"	4635	"1"	0	0	23.712867123392	0.0208275004083333
"Gold_Standard_4"	50	44	36	28	20	3669708	3653744	3589839	3447055	3171826	50	272601	3669708	5190212	66.74	66.83	189586	128620	113320	NA	8	13	14	NA	0	0	0	0	"0 + 0 part"	0	70.704	1	0	0	0	"5079 + 74 part"	3708	3719	3271	444	35	272601	189586	128620	113320	NA	8	13	14	NA	"1053058"	NA	5190212	1025896	14.076328	NA	"strain"	5136	"1"	0	0	29.6489623159902	0.009998111232
"Gold_Standard_4"	41	28	23	20	18	7265629	7229716	7198029	7147581	7082506	52	1363459	7273019	7278430	65.88	65.87	437613	437613	342323	342323	5	5	10	10	0	0	0	0	"0 + 0 part"	0	99.926	1	1.32	0	0	"9287 + 31 part"	6365	6365	5875	1196	154	1363459	437613	437613	342323	342323	5	5	10	10	"1139_AG"	NA	7278430	6047605	59.191601	NA	"uniq"	6259	"1"	0	0	124.634124392211	0.0192023182230769
"Gold_Standard_4"	32	26	24	22	20	3475186	3464141	3448976	3416367	3351847	37	766457	3479010	3480877	73.3	73.29	174772	174772	126892	126892	5	5	11	11	0	0	0	0	"0 + 0 part"	0	99.946	1	0.86	0	0	"6056 + 42 part"	3228	3228	2957	455	48	766457	174772	174772	126892	126892	5	5	11	11	"1220_AD"	NA	3480877	5653969	115.793319	NA	"uniq"	3248	"1"	0	0	243.644159216198	0.0269978457189189
"Gold_Standard_4"	403	0	0	0	0	535592	0	0	0	0	1950	3025	1599975	3571513	66.77	66.69	825	NA	645	NA	694	NA	1242	NA	0	0	0	0	"0 + 0 part"	0	44.798	1	0.69	0	0	"586 + 3254 part"	2959	2959	2100	19	0	3025	825	0	645	NA	694	NA	1242	NA	"1220_AJ"	NA	3571513	17327	0.345398	NA	"uniq"	3167	"1"	0	0	0.727716796774924	0.000102915938666667
"Gold_Standard_4"	6	6	6	6	6	4566533	4566533	4566533	4566533	4566533	6	1684314	4566533	4566645	68.92	68.92	818757	818757	623272	623272	2	2	4	4	0	0	0	0	"0 + 0 part"	0	99.998	1	0.09	0	0	"6689 + 7 part"	4206	4206	3887	568	66	1684314	818757	818757	623272	623272	2	2	4	4	"1285_BH"	NA	4566645	557585	8.683486	NA	"uniq"	4199	"1"	0	0	18.3149226620418	0.166660000066667
"Gold_Standard_4"	17	14	13	12	11	2974504	2971203	2962741	2948550	2907063	18	1005863	2975025	2975898	46.71	46.71	573883	573883	190612	190612	2	2	5	5	0	0	0	0	"0 + 0 part"	0	99.971	1	0.74	0	0	"3057 + 4 part"	2983	2983	2722	344	24	1005863	573883	573883	190612	190612	2	2	5	5	"1286_AP"	NA	2975898	120657	2.885229	NA	"strain"	3061	"1"	0	0	6.08171046185051	0.0555233380055556
"Gold_Standard_4"	1993	331	38	0	0	6512652	2419829	482842	0	0	2521	24057	6903568	7207331	65.84	65.81	3824	3658	2270	2096	566	607	1147	1252	0	0	0	0	"0 + 0 part"	0	95.785	1	0.94	0	0	"6079 + 3191 part"	8046	8046	6664	803	58	24057	3824	3658	2270	2096	566	607	1147	1252	"1365_A"	NA	7207331	98969	0.977768	NA	"uniq"	6224	"1"	0	0	2.05975693359997	0.000363933606703689
"Gold_Standard_4"	56	48	39	20	12	2260928	2237752	2166040	1861095	1596292	56	277845	2260928	2264253	30.86	30.86	113195	113195	40348	40348	6	6	15	15	0	0	0	0	"0 + 0 part"	0	99.853	1	0	0	0	"4573 + 59 part"	3281	3391	2141	102	9	277845	113195	113195	40348	40348	6	6	15	15	"evo_1035930.011"	NA	2264253	113983	3.589188	NA	"strain"	3488	"1"	0	0	7.55103338717007	0.0178046814446429
"Gold_Standard_4"	59	52	43	23	14	2412130	2391103	2319016	1985577	1664635	59	275803	2412130	2413510	30.86	30.86	83227	83227	40725	40725	7	7	18	18	0	0	0	0	"0 + 0 part"	0	99.943	1	0	0	0	"4177 + 38 part"	2841	2896	2221	242	15	275803	83227	83227	40725	40725	7	7	18	18	"evo_1035930.029"	NA	2413510	2005302	59.246538	NA	"strain"	2914	"1"	0	0	124.629813010926	0.0169298360152542
"Gold_Standard_4"	58	51	43	23	14	2294831	2273431	2209328	1876450	1556244	58	270722	2294831	2296439	30.92	30.92	82353	82353	40581	40581	8	8	18	18	0	0	0	0	"0 + 0 part"	0	99.93	1	0	0	0	"5477 + 63 part"	2540	2596	2066	260	22	270722	82353	82353	40581	40581	8	8	18	18	"evo_1035930.032"	NA	2296439	660938	20.521649	NA	"strain"	2617	"1"	0	0	43.1714929070618	0.0172172498275862
"Gold_Standard_4"	26	21	20	18	16	3354404	3346372	3339599	3311594	3254698	26	593364	3354404	3363445	35.83	35.83	295016	295016	135069	135069	4	4	9	9	0	0	0	0	"0 + 0 part"	0	99.731	1	0	0	0	"7664 + 33 part"	4781	4802	3413	173	9	593364	295016	295016	135069	135069	4	4	9	9	"evo_1049056.011"	NA	3363445	3162133	67.093626	NA	"strain"	4926	"1"	0	0	141.022062201106	0.0382548936961538
"Gold_Standard_4"	26	21	20	18	17	3515086	3507104	3500346	3472307	3441623	26	565017	3515086	3524378	35.79	35.79	254526	254526	133732	133732	4	4	9	9	0	0	0	0	"0 + 0 part"	0	99.736	1	0	0	0	"7291 + 39 part"	4916	4938	3578	202	11	565017	254526	254526	133732	133732	4	4	9	9	"evo_1049056.013"	NA	3524378	670459	13.573682	NA	"strain"	5073	"1"	0	0	28.5352053610595	0.0382587296
"Gold_Standard_4"	26	21	20	18	17	3365233	3357200	3350427	3322385	3291801	26	593983	3365233	3374338	35.84	35.84	252748	252748	133676	133676	4	4	9	9	0	0	0	0	"0 + 0 part"	0	99.73	1	0	0	0	"6448 + 32 part"	4626	4645	3425	199	11	593983	252748	252748	133676	133676	4	4	9	9	"evo_1049056.015"	NA	3374338	1602347	33.889343	NA	"strain"	4744	"1"	0	0	71.2293937358972	0.0382541265384615
"Gold_Standard_4"	35	24	19	18	16	3375491	3351770	3317816	3302359	3223027	35	446690	3375491	3382970	35.84	35.84	254846	254846	178033	178033	5	5	9	9	0	0	0	0	"0 + 0 part"	0	99.779	1	0	0	0	"3719 + 27 part"	3722	3723	3137	348	30	446690	254846	254846	178033	178033	5	5	9	9	"evo_1049056.031"	NA	3382970	149277	3.146084	NA	"strain"	3750	"1"	0	0	6.6189029166679	0.0284452824028571
"Gold_Standard_4"	784	1	0	0	0	1190190	5686	0	0	0	2077	5686	2097801	3264668	35.83	35.82	1094	725	755	NA	650	1308	1228	NA	0	0	0	0	"0 + 0 part"	0	64.204	1.001	0	0	0	"1346 + 3518 part"	3424	3424	2508	48	0	5686	1094	725	755	NA	650	1308	1228	NA	"evo_1049056.039"	NA	3264668	21546	0.470507	NA	"strain"	3021	"1"	0	0	0.989962838487711	0.000198466712373616
"Gold_Standard_4"	17	14	12	11	10	3383274	3379942	3363343	3349148	3303031	18	976922	3383934	3384405	46.7	46.7	868135	868135	247531	247531	2	2	5	5	0	0	0	0	"0 + 0 part"	0	99.986	1	0.74	0	0	"6763 + 16 part"	4231	4302	3414	199	6	976922	868135	868135	247531	247531	2	2	5	5	"evo_1286_AP.008"	NA	3384405	409851	8.617169	NA	"strain"	4610	"1"	0	0	18.1649802550227	0.0555400010888889
"Gold_Standard_4"	16	12	11	10	10	3210344	3203722	3195227	3181311	3181311	17	1152509	3210938	3211060	46.7	46.7	680165	680165	194513	194513	2	2	5	5	0	0	0	0	"0 + 0 part"	0	99.996	1	0.65	0	0	"6589 + 17 part"	3698	3713	3168	248	7	1152509	680165	680165	194513	194513	2	2	5	5	"evo_1286_AP.026"	NA	3211060	1469507	32.566115	NA	"strain"	3868	"1"	0	0	68.6458832908759	0.0588188236235294
"Gold_Standard_4"	16	13	12	11	10	3097417	3094073	3085577	3071338	3029486	17	995657	3098001	3098187	46.68	46.68	626775	626775	198840	198840	2	2	5	5	0	0	0	0	"0 + 0 part"	0	99.994	1	0.68	0	0	"5665 + 20 part"	3378	3382	2970	294	14	995657	626775	626775	198840	198840	2	2	5	5	"evo_1286_AP.033"	NA	3098187	689246	15.83206	NA	"strain"	3491	"1"	0	0	33.3701290464391	0.0588164708
"Gold_Standard_4"	16	13	12	11	10	3082383	3078958	3070479	3056251	3014864	17	1008346	3082966	3083256	46.67	46.67	653906	653906	222839	222839	2	2	5	5	0	0	0	0	"0 + 0 part"	0	99.991	1	0.71	0	0	"5477 + 15 part"	3233	3237	2899	317	22	1008346	653906	653906	222839	222839	2	2	5	5	"evo_1286_AP.037"	NA	3083256	501952	11.585382	NA	"strain"	3332	"1"	0	0	24.4198989639524	0.0588129416529412
"grave_lovelace_0"	67	52	47	41	31	6246799	6215940	6179127	6077689	5696270	78	535201	6254889	6278004	66.5	66.49	250414	250414	106935	106260	8	8	18	19	18	9	2304854	2	"0 + 2 part"	4135	99.552	1	0	3.74	0.26	"11568 + 139 part"	5778	5778	5271	813	77	495754	154956	154956	94861	94861	13	13	26	26	"1030752"	NA	6278004	4133072	46.858589	NA	"uniq"	5770	"2"	2.87774890969288	5.9793227345841e-07	98.7512591581656	0.0127058983384615
"grave_lovelace_0"	187	136	113	61	24	4585709	4456498	4293164	3440483	2045576	192	216233	4589594	4620491	62.13	62.12	47179	47179	24395	24386	30	30	62	63	11	8	582059	1	"0 + 4 part"	2046	99.08	1.002	0	16.3	0.61	"9439 + 328 part"	4387	4389	3981	633	65	185983	43468	43468	24386	24382	33	33	66	67	"1030755"	NA	4620491	336727	5.194538	NA	"uniq"	4330	"2"	2.39672615922018	3.55151239957173e-06	10.9315330340434	0.00511294083333333
"grave_lovelace_0"	168	106	87	54	32	5004483	4873727	4741135	4182842	3401336	197	390846	5024802	4900391	41.3	41.31	75068	77854	37216	42156	19	18	41	39	9	8	183093	2	"0 + 4 part"	145270	99.104	1.005	0	20.67	0.99	"6106 + 179 part"	4493	4505	4021	703	111	337395	74986	75068	31617	34394	20	19	45	42	"1030836"	NA	4900391	579419	8.419112	NA	"uniq"	4395	"2"	1.79111535141086	4.11359492374028e-06	17.7359010740163	0.0049855851857868
"grave_lovelace_0"	1148	101	2	0	0	2991746	676788	26695	0	0	1593	14329	3319692	3289345	68.35	68.33	2839	2852	1610	1648	365	360	759	745	1	1	7417	1	"0 + 8 part"	338	96.741	1.043	0	323.84	0.5	"3787 + 2412 part"	4529	4529	3522	255	7	14329	2822	2852	1610	1647	366	360	759	746	"1030878"	NA	3289345	117951	2.550971	NA	"uniq"	3035	"2"	0.301232764967352	9.75512186070274e-05	5.37877601771781	0.000587496615254237
"grave_lovelace_0"	84	66	59	48	37	7242642	7202590	7157173	6952644	6522006	94	1228130	7250218	7281938	53.04	53.04	231545	231545	96031	96031	9	9	21	21	21	18	2123183	4	"0 + 1 part"	23	99.516	1.001	0	9.05	0.66	"8277 + 113 part"	6129	6132	5419	949	137	1228035	202928	202928	72328	72328	10	10	25	25	"1035900"	NA	7281938	4418897	43.214399	NA	"uniq"	6459	"2"	2.89646463044284	1.2482383288337e-06	91.024470408839	0.0105355683574468
"grave_lovelace_0"	23	13	9	4	0	304365	276468	246065	152164	0	26	49408	306291	2199979	31.23	30.96	23179	NA	16372	NA	5	NA	8	NA	5	3	113281	5	"0 + 0 part"	0	13.889	1.002	0	396.32	2.95	"271 + 33 part"	360	360	290	33	4	34160	22220	0	8580	NA	6	NA	12	NA	"1035930"	NA	2199979	220904	7.163	NA	"strain"	1985	"2"	16.3243451488944	0.00129393289388196	15.061780135174	0.000741939696153846
"grave_lovelace_0"	165	120	99	62	35	5050726	4931723	4773578	4169804	3244017	176	390846	5058196	4677460	40.7	40.62	66304	69509	34138	36482	23	20	50	42	10	9	399194	7	"0 + 3 part"	481727	97.607	1.002	0	178.99	5.72	"5697 + 258 part"	4515	4524	4064	716	105	128368	51949	57202	19754	26192	32	28	72	59	"1036539"	NA	4677460	349514	5.31969	NA	"uniq"	4226	"2"	1.97698942468817	3.53861337124935e-05	11.208455016184	0.00541314002784091
"grave_lovelace_0"	23	20	18	16	13	2646625	2641635	2626587	2591063	2495298	27	646045	2649370	2659575	46.83	46.82	312185	312185	120167	120167	3	3	7	7	4	3	88448	1	"0 + 2 part"	59	99.558	1.001	0	4.46	0.3	"5839 + 62 part"	2428	2428	2181	368	44	646045	312185	312185	120106	120106	3	3	7	7	"1036554"	NA	2659575	8168678	218.879025	NA	"uniq"	2448	"2"	1.50979289415974	1.68341907698811e-06	460.713347057331	0.0367103532
"grave_lovelace_0"	847	184	27	1	0	3043749	1392779	348139	25578	0	1047	25578	3191873	3184472	61.61	61.56	4453	4460	2624	2631	228	227	460	457	11	11	58943	1	"0 + 6 part"	16488	96.846	1.03	0	191.31	0.65	"4984 + 1965 part"	3579	3581	2960	346	22	25576	4399	4402	2520	2536	233	232	471	469	"1036608"	NA	3184472	122192	2.745223	NA	"uniq"	2747	"2"	3.44625240415267	5.99365952216771e-05	5.7556794344557	0.0008958116252149
"grave_lovelace_0"	165	114	83	31	9	2585374	2456046	2242049	1379524	643163	170	104082	2588993	2638923	27.66	27.72	27312	26760	15250	14964	28	29	60	63	18	17	298654	0	"0 + 3 part"	440	97.968	1.002	0	9.01	0.35	"5639 + 191 part"	2591	2592	2185	326	28	104082	23161	23066	14021	13693	30	31	66	68	"1036641"	NA	2638923	191369	5.189716	NA	"uniq"	2719	"2"	6.95251010721157	3.4801175592209e-06	10.8776762338272	0.00564572295529412
"grave_lovelace_0"	790	0	0	0	0	1065543	0	0	0	0	3131	3337	2692024	4060624	30.93	30.58	889	669	671	NA	1088	1982	1965	NA	47	46	52336	0	"0 + 19 part"	1008	64.141	1.034	0	779.22	2.3	"1515 + 5502 part"	4739	4739	3134	14	0	3337	876	661	663	NA	1102	2007	1990	NA	"1036707"	NA	4060624	72323	1.273198	NA	"uniq"	3865	"2"	17.458982535074	0.000289455071722986	2.6716214059711	0.000131397888246567
"grave_lovelace_0"	462	0	0	0	0	633618	0	0	0	0	1714	3383	1501508	2032530	33.55	33.36	900	731	675	NA	587	912	1069	NA	4	4	3951	0	"0 + 6 part"	1038	71.031	1.039	0	768.49	1.45	"714 + 2480 part"	2834	2834	1889	7	0	3383	898	729	674	NA	588	914	1071	NA	"1036728"	NA	2032530	37251	1.305463	NA	"uniq"	2087	"2"	2.6639884702579	0.000511812124877124	2.749110714233	0.000294364233430572
"grave_lovelace_0"	453	0	0	0	0	569049	0	0	0	0	3458	2532	2585513	5216281	35.12	34.94	745	NA	603	NA	1306	NA	2277	NA	16	16	18052	4	"0 + 19 part"	2203	48.369	1.025	0	947.7	1.39	"1013 + 6457 part"	4688	4688	3157	5	0	2532	741	0	600	NA	1312	NA	2288	NA	"1036743"	NA	5216281	73921	1.008581	NA	"uniq"	4588	"2"	6.18832703606596	0.000366542345754982	2.12568111265478	6.7656453470214e-05
"grave_lovelace_0"	112	84	80	62	41	6425153	6365784	6339603	6055002	5289888	117	342942	6428514	6467702	54.95	54.95	123254	123254	71808	71808	17	17	34	34	16	15	741335	6	"0 + 4 part"	576	99.319	1.001	0	5.82	0.26	"7129 + 94 part"	5314	5317	4810	1000	138	342942	120942	117056	70914	64747	17	18	35	36	"1036755"	NA	6467702	1342188	14.78588	NA	"uniq"	5273	"2"	2.48891112316159	9.05341421050028e-07	31.1282430761343	0.00843099466752137
"grave_lovelace_0"	301	163	83	12	1	2378849	2018877	1450243	385548	50096	341	50096	2409176	2431652	51.42	51.45	12004	11969	6675	6475	61	62	127	130	11	11	89427	1	"0 + 1 part"	88	97.881	1.013	0	69.24	0.92	"3516 + 504 part"	2271	2271	1875	274	24	50096	12004	11969	6475	6297	61	62	129	132	"1048783"	NA	2431652	107568	3.161138	NA	"uniq"	2324	"2"	4.56587646564635	2.87401169528503e-05	6.63548895976891	0.00280958655747801
