Assembly	X..contigs.....1000.bp.	X..contigs.....5000.bp.	X..contigs.....10000.bp.	X..contigs.....25000.bp.	X..contigs.....50000.bp.	Total.length.....1000.bp.	Total.length.....5000.bp.	Total.length.....10000.bp.	Total.length.....25000.bp.	Total.length.....50000.bp.	X..contigs	Largest.contig	Total.length	Reference.length	GC....	Reference.GC....	N50	NG50	N75	NG75	L50	LG50	L75	LG75	X..misassemblies	X..misassembled.contigs	Misassembled.contigs.length	X..local.misassemblies	X..unaligned.contigs	Unaligned.length	Genome.fraction....	Duplication.ratio	X..N.s.per.100.kbp	X..mismatches.per.100.kbp	X..indels.per.100.kbp	X..predicted.genes..unique.	X..predicted.genes.....0.bp.	X..predicted.genes.....300.bp.	X..predicted.genes.....1500.bp.	X..predicted.genes.....3000.bp.	Largest.alignment	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75	gid	refLength	refMapping	group	assemblerGroup	X..genes	cov
Gold Standard	27	21	17	12	10	3124289	3114198	3084434	2987435	2897665	27	785947	3124289	3125442	68,23	68,22	777941	777941	164316	164316	2	2	5	5	0	0	0	0	0 + 0 part	0	99,963	1	0	0	0	3006	3011	2766	414	30	785947	777941	777941	164316	164316	2	2	5	5	1049089	3125442	150629	uniq	1	NA	7,229169506
Gold Standard	53	50	42	34	24	4010856	4003217	3944242	3800571	3458276	53	252519	4010856	5192961	66,8	66,83	166312	142121	91385	16773	10	13	17	39	0	0	0	0	0 + 0 part	0	77,236	1	0	0	0	3977	3994	3552	499	34	252519	166312	142121	91385	16773	10	13	17	39	1052944	5192961	257982	strain	1	NA	7,451875722
Gold Standard	48	43	40	34	29	4767044	4755795	4730908	4601901	4439812	48	562414	4767044	4767709	67,04	67,04	183721	183721	101441	101441	10	10	19	19	0	0	0	0	0 + 0 part	0	99,986	1	0	0	0	4703	4719	4186	601	47	562414	183721	183721	101441	101441	10	10	19	19	1052947	4767709	753707	strain	1	NA	23,71286712
Gold Standard	135	93	77	57	39	6366504	6275224	6160855	5809066	5183646	135	272601	6366504	5190212	66,85	66,83	155007	181611	65804	107627	15	12	32	21	0	0	0	0	0 + 0 part	0	99,984	1,227	0	0	0	5220	6442	5643	779	54	272601	155007	181611	65804	107627	15	12	32	21	1053058	5190212	1025896	strain	1	NA	29,64896232
Gold Standard	41	28	23	20	18	7265629	7229716	7198029	7147581	7082506	52	1363459	7273019	7278430	65,88	65,87	437613	437613	342323	342323	5	5	10	10	0	0	0	0	0 + 0 part	0	99,926	1	1,32	0	0	6365	6365	5875	1196	154	1363459	437613	437613	342323	342323	5	5	10	10	1139_AG	7278430	6047605	uniq	1	NA	124,6341244
Gold Standard	32	26	24	22	20	3475186	3464141	3448976	3416367	3351847	37	766457	3479010	3480877	73,3	73,29	174772	174772	126892	126892	5	5	11	11	0	0	0	0	0 + 0 part	0	99,946	1	0,86	0	0	3228	3228	2957	455	48	766457	174772	174772	126892	126892	5	5	11	11	1220_AD	3480877	5653969	uniq	1	NA	243,6441592
Gold Standard	403	0	0	0	0	535592	0	0	0	0	1950	3025	1599975	3571513	66,77	66,69	825	NA	645	NA	694	NA	1242	NA	0	0	0	0	0 + 0 part	0	44,798	1	0,69	0	0	2959	2959	2100	19	0	3025	825	0	645	NA	694	NA	1242	NA	1220_AJ	3571513	17327	uniq	1	NA	0,727716797
Gold Standard	6	6	6	6	6	4566533	4566533	4566533	4566533	4566533	6	1684314	4566533	4566645	68,92	68,92	818757	818757	623272	623272	2	2	4	4	0	0	0	0	0 + 0 part	0	99,998	1	0,09	0	0	4206	4206	3887	568	66	1684314	818757	818757	623272	623272	2	2	4	4	1285_BH	4566645	557585	uniq	1	NA	18,31492266
Gold Standard	17	14	13	12	11	2974504	2971203	2962741	2948550	2907063	18	1005863	2975025	2975898	46,71	46,71	573883	573883	190612	190612	2	2	5	5	0	0	0	0	0 + 0 part	0	99,971	1	0,74	0	0	2983	2983	2722	344	24	1005863	573883	573883	190612	190612	2	2	5	5	1286_AP	2975898	120657	strain	1	NA	6,081710462
Gold Standard	1993	331	38	0	0	6512652	2419829	482842	0	0	2521	24057	6903568	7207331	65,84	65,81	3824	3658	2270	2096	566	607	1147	1252	0	0	0	0	0 + 0 part	0	95,785	1	0,94	0	0	8046	8046	6664	803	58	24057	3824	3658	2270	2096	566	607	1147	1252	1365_A	7207331	98969	uniq	1	NA	2,059756934
Gold Standard	1	0	0	0	0	1103	0	0	0	0	1	1103	1103	1103	61,2	61,2	1103	1103	1103	1103	1	1	1	1	0	0	0	0	0 + 0 part	0	100	1	0	0	0	2	2	1	0	0	1103	1103	1103	1103	1103	1	1	1	1	Sample15_97	1103	484	circular_elem	1	NA	65,82048957
Gold Standard	1	1	1	0	0	12897	12897	12897	0	0	1	12897	12897	12897	52,5	52,5	12897	12897	12897	12897	1	1	1	1	0	0	0	0	0 + 0 part	0	100	1	0	0	0	12	12	11	2	0	12897	12897	12897	12897	12897	1	1	1	1	Sample16_19	12897	2423	circular_elem	1	NA	28,18097232
Gold Standard	1	0	0	0	0	3420	0	0	0	0	1	3420	3420	3420	45,82	45,82	3420	3420	3420	3420	1	1	1	1	0	0	0	0	0 + 0 part	0	100	1	0	0	0	5	5	3	0	0	3420	3420	3420	3420	3420	1	1	1	1	Sample18_57	3420	22197	circular_elem	1	NA	973,5526316
Gold Standard	1	1	0	0	0	8320	8320	0	0	0	1	8320	8320	8320	40,34	40,34	8320	8320	8320	8320	1	1	1	1	0	0	0	0	0 + 0 part	0	100	1	0	0	0	9	9	8	0	0	8320	8320	8320	8320	8320	1	1	1	1	Sample18_8	8320	13686	circular_elem	1	NA	246,7427885
Gold Standard	1	1	0	0	0	9957	9957	0	0	0	1	9957	9957	9957	50,7	50,7	9957	9957	9957	9957	1	1	1	1	0	0	0	0	0 + 0 part	0	100	1	0	0	0	12	12	10	2	0	9957	9957	9957	9957	9957	1	1	1	1	Sample19_20	9957	83975	circular_elem	1	NA	1265,064779
Gold Standard	1	0	0	0	0	4959	0	0	0	0	1	4959	4959	4959	35,27	35,27	4959	4959	4959	4959	1	1	1	1	0	0	0	0	0 + 0 part	0	100	1	0	0	0	6	6	6	1	0	4959	4959	4959	4959	4959	1	1	1	1	Sample19_52	4959	4513	circular_elem	1	NA	136,5093769
Gold Standard	1	0	0	0	0	4900	0	0	0	0	1	4900	4900	4900	40,43	40,43	4900	4900	4900	4900	1	1	1	1	0	0	0	0	0 + 0 part	0	100	1	0	0	0	5	5	3	1	0	4900	4900	4900	4900	4900	1	1	1	1	Sample19_56	4900	1223	circular_elem	1	NA	37,43877551
Gold Standard	1	0	0	0	0	2721	0	0	0	0	1	2721	2721	2721	45,9	45,9	2721	2721	2721	2721	1	1	1	1	0	0	0	0	0 + 0 part	0	100	1	0	0	0	4	4	1	0	0	2721	2721	2721	2721	2721	1	1	1	1	Sample22_283	2721	509	circular_elem	1	NA	28,05953693
Gold Standard	1	1	0	0	0	6280	6280	0	0	0	1	6280	6280	6280	44,41	44,41	6280	6280	6280	6280	1	1	1	1	0	0	0	0	0 + 0 part	0	100	1	0	0	0	10	10	8	1	0	6280	6280	6280	6280	6280	1	1	1	1	Sample22_57	6280	9216	circular_elem	1	NA	220,1273885
Gold Standard	1	1	0	0	0	5236	5236	0	0	0	1	5236	5236	5236	38,54	38,54	5236	5236	5236	5236	1	1	1	1	0	0	0	0	0 + 0 part	0	100	1	0	0	0	9	9	5	1	0	5236	5236	5236	5236	5236	1	1	1	1	Sample22_89	5236	24162	circular_elem	1	NA	692,1886937
Gold Standard	1	0	0	0	0	1739	0	0	0	0	1	1739	1739	1739	46,64	46,64	1739	1739	1739	1739	1	1	1	1	0	0	0	0	0 + 0 part	0	100	1	0	0	0	1	1	1	0	0	1739	1739	1739	1739	1739	1	1	1	1	Sample23_271	1739	266073	circular_elem	1	NA	22950,51754
Gold Standard	1	0	0	0	0	1734	0	0	0	0	1	1734	1734	1734	40,43	40,43	1734	1734	1734	1734	1	1	1	1	0	0	0	0	0 + 0 part	0	100	1	0	0	0	3	3	2	0	0	1734	1734	1734	1734	1734	1	1	1	1	Sample23_273	1734	614	circular_elem	1	NA	53,11418685
Gold Standard	1	0	0	0	0	1666	0	0	0	0	1	1666	1666	1666	46,88	46,88	1666	1666	1666	1666	1	1	1	1	0	0	0	0	0 + 0 part	0	100	1	0	0	0	3	3	2	0	0	1666	1666	1666	1666	1666	1	1	1	1	Sample23_288	1666	5165	circular_elem	1	NA	465,0360144
Gold Standard	1	0	0	0	0	2362	0	0	0	0	1	2362	2362	2362	61,47	61,47	2362	2362	2362	2362	1	1	1	1	0	0	0	0	0 + 0 part	0	100	1	0	0	0	4	4	1	0	0	2362	2362	2362	2362	2362	1	1	1	1	Sample6_289	2362	715	circular_elem	1	NA	45,40643522
Gold Standard	1	0	0	0	0	1678	0	0	0	0	1	1678	1678	1678	39,21	39,21	1678	1678	1678	1678	1	1	1	1	0	0	0	0	0 + 0 part	0	100	1	0	0	0	2	2	2	0	0	1678	1678	1678	1678	1678	1	1	1	1	Sample6_476	1678	74	circular_elem	1	NA	6,615017878
Gold Standard	1	1	0	0	0	5285	5285	0	0	0	1	5285	5285	5285	46,36	46,36	5285	5285	5285	5285	1	1	1	1	0	0	0	0	0 + 0 part	0	100	1	0	0	0	7	7	5	1	0	5285	5285	5285	5285	5285	1	1	1	1	Sample6_49	5285	5584	circular_elem	1	NA	158,4862819
Gold Standard	1	0	0	0	0	1550	0	0	0	0	1	1550	1550	1550	54,06	54,06	1550	1550	1550	1550	1	1	1	1	0	0	0	0	0 + 0 part	0	100	1	0	0	0	2	2	1	0	0	1550	1550	1550	1550	1550	1	1	1	1	Sample6_527	1550	13458	circular_elem	1	NA	1302,387097
Gold Standard	1	0	0	0	0	1210	0	0	0	0	1	1210	1210	1210	58,26	58,26	1210	1210	1210	1210	1	1	1	1	0	0	0	0	0 + 0 part	0	100	1	0	0	0	2	2	2	0	0	1210	1210	1210	1210	1210	1	1	1	1	Sample6_722	1210	530	circular_elem	1	NA	65,70247934
Gold Standard	1	1	0	0	0	5544	5544	0	0	0	1	5544	5544	5544	48,88	48,88	5544	5544	5544	5544	1	1	1	1	0	0	0	0	0 + 0 part	0	100	1	0	0	0	9	9	3	0	0	5544	5544	5544	5544	5544	1	1	1	1	Sample9_2	5544	2217	circular_elem	1	NA	59,98376623
Gold Standard	1	0	0	0	0	2080	0	0	0	0	1	2080	2080	2080	53,61	53,61	2080	2080	2080	2080	1	1	1	1	0	0	0	0	0 + 0 part	0	100	1	0	0	0	2	2	1	0	0	2080	2080	2080	2080	2080	1	1	1	1	Sample9_65	2080	274	circular_elem	1	NA	19,75961538
Gold Standard	56	48	39	20	12	2260928	2237752	2166040	1861095	1596292	56	277845	2260928	2264253	30,86	30,86	113195	113195	40348	40348	6	6	15	15	0	0	0	0	0 + 0 part	0	99,853	1	0	0	0	3281	3391	2141	102	9	277845	113195	113195	40348	40348	6	6	15	15	evo_1035930.011	2264253	113983	strain	1	NA	7,551033387
Gold Standard	59	52	43	23	14	2412130	2391103	2319016	1985577	1664635	59	275803	2412130	2413510	30,86	30,86	83227	83227	40725	40725	7	7	18	18	0	0	0	0	0 + 0 part	0	99,943	1	0	0	0	2841	2896	2221	242	15	275803	83227	83227	40725	40725	7	7	18	18	evo_1035930.029	2413510	2005302	strain	1	NA	124,629813
Gold Standard	58	51	43	23	14	2294831	2273431	2209328	1876450	1556244	58	270722	2294831	2296439	30,92	30,92	82353	82353	40581	40581	8	8	18	18	0	0	0	0	0 + 0 part	0	99,93	1	0	0	0	2540	2596	2066	260	22	270722	82353	82353	40581	40581	8	8	18	18	evo_1035930.032	2296439	660938	strain	1	NA	43,17149291
Gold Standard	26	21	20	18	16	3354404	3346372	3339599	3311594	3254698	26	593364	3354404	3363445	35,83	35,83	295016	295016	135069	135069	4	4	9	9	0	0	0	0	0 + 0 part	0	99,731	1	0	0	0	4781	4802	3413	173	9	593364	295016	295016	135069	135069	4	4	9	9	evo_1049056.011	3363445	3162133	strain	1	NA	141,0220622
Gold Standard	26	21	20	18	17	3515086	3507104	3500346	3472307	3441623	26	565017	3515086	3524378	35,79	35,79	254526	254526	133732	133732	4	4	9	9	0	0	0	0	0 + 0 part	0	99,736	1	0	0	0	4916	4938	3578	202	11	565017	254526	254526	133732	133732	4	4	9	9	evo_1049056.013	3524378	670459	strain	1	NA	28,53520536
Gold Standard	26	21	20	18	17	3365233	3357200	3350427	3322385	3291801	26	593983	3365233	3374338	35,84	35,84	252748	252748	133676	133676	4	4	9	9	0	0	0	0	0 + 0 part	0	99,73	1	0	0	0	4626	4645	3425	199	11	593983	252748	252748	133676	133676	4	4	9	9	evo_1049056.015	3374338	1602347	strain	1	NA	71,22939374
Gold Standard	35	24	19	18	16	3375491	3351770	3317816	3302359	3223027	35	446690	3375491	3382970	35,84	35,84	254846	254846	178033	178033	5	5	9	9	0	0	0	0	0 + 0 part	0	99,779	1	0	0	0	3722	3723	3137	348	30	446690	254846	254846	178033	178033	5	5	9	9	evo_1049056.031	3382970	149277	strain	1	NA	6,618902917
Gold Standard	784	1	0	0	0	1190190	5686	0	0	0	2077	5686	2097801	3264668	35,83	35,82	1094	725	755	NA	650	1308	1228	NA	0	0	0	0	0 + 0 part	0	64,204	1,001	0	0	0	3424	3424	2508	48	0	5686	1094	725	755	NA	650	1308	1228	NA	evo_1049056.039	3264668	21546	strain	1	NA	0,989962838
Gold Standard	17	14	12	11	10	3383274	3379942	3363343	3349148	3303031	18	976922	3383934	3384405	46,7	46,7	868135	868135	247531	247531	2	2	5	5	0	0	0	0	0 + 0 part	0	99,986	1	0,74	0	0	4231	4302	3414	199	6	976922	868135	868135	247531	247531	2	2	5	5	evo_1286_AP.008	3384405	409851	strain	1	NA	18,16498026
Gold Standard	16	12	11	10	10	3210344	3203722	3195227	3181311	3181311	17	1152509	3210938	3211060	46,7	46,7	680165	680165	194513	194513	2	2	5	5	0	0	0	0	0 + 0 part	0	99,996	1	0,65	0	0	3698	3713	3168	248	7	1152509	680165	680165	194513	194513	2	2	5	5	evo_1286_AP.026	3211060	1469507	strain	1	NA	68,64588329
Gold Standard	16	13	12	11	10	3097417	3094073	3085577	3071338	3029486	17	995657	3098001	3098187	46,68	46,68	626775	626775	198840	198840	2	2	5	5	0	0	0	0	0 + 0 part	0	99,994	1	0,68	0	0	3378	3382	2970	294	14	995657	626775	626775	198840	198840	2	2	5	5	evo_1286_AP.033	3098187	689246	strain	1	NA	33,37012905
Gold Standard	16	13	12	11	10	3082383	3078958	3070479	3056251	3014864	17	1008346	3082966	3083256	46,67	46,67	653906	653906	222839	222839	2	2	5	5	0	0	0	0	0 + 0 part	0	99,991	1	0,71	0	0	3233	3237	2899	317	22	1008346	653906	653906	222839	222839	2	2	5	5	evo_1286_AP.037	3083256	501952	strain	1	NA	24,41989896
Minia3 k21-k241	66	52	48	42	32	6261522	6235322	6205628	6093688	5723522	69	529893	6264079	6278004	66,47	66,49	206818	206818	106909	106909	9	9	19	19	16	11	2728112	4	0 + 0 part	0	99,661	1,001	0	0,8	0	5788	5797	5288	809	78	496433	152150	152150	94861	94861	13	13	26	26	1030752	6278004	4133072	uniq	3	11579 + 154 part	98,75125916
Minia3 k21-k241	135	108	97	63	25	4595250	4529065	4445813	3883801	2370420	139	258941	4598209	4620491	62,14	62,12	52230	52230	36631	36631	24	24	50	50	8	6	306020	5	0 + 0 part	0	99,392	1,001	0	2,7	0,04	4370	4379	3940	643	70	258941	49786	49786	36123	35495	26	26	52	53	1030755	4620491	336727	uniq	3	9533 + 268 part	10,93153303
Minia3 k21-k241	84	67	62	44	34	5138286	5098124	5066073	4712262	4360687	89	417152	5142176	4900391	41,24	41,31	131846	144050	71271	76790	12	11	26	23	10	7	318871	3	0 + 3 part	252434	99,403	1,004	0	14,72	0,33	4538	4539	4061	729	113	417152	102337	120672	55983	61796	13	12	30	27	1030836	4900391	579419	uniq	3	6186 + 124 part	17,73590107
Minia3 k21-k241	916	152	21	0	0	2984602	1124311	245504	0	0	1156	19403	3159378	3289345	68,4	68,33	3888	3743	2245	2073	256	273	524	569	2	2	15988	0	0 + 0 part	0	95,871	1,002	0	8,91	0,06	3878	3878	3148	322	13	19403	3876	3719	2245	2073	258	275	526	571	1030878	3289345	117951	uniq	3	4104 + 2099 part	5,378776018
Minia3 k21-k241	93	69	62	51	39	7261784	7213406	7167472	6988892	6543075	95	1228469	7263349	7281938	53,04	53,04	223433	223433	88776	88776	9	9	23	23	11	11	1375764	3	0 + 1 part	10	99,716	1	0	1,71	0,01	6134	6139	5421	952	137	1228374	165683	165683	81970	81970	11	11	26	26	1035900	7281938	4418897	uniq	3	8274 + 136 part	91,02447041
Minia3 k21-k241	31	9	7	4	0	248333	211476	192658	131712	0	289	43145	410540	2199979	30,89	30,96	9317	NA	651	NA	9	NA	109	NA	4	4	84136	7	0 + 0 part	0	18,02	1,036	0	226,27	2,02	638	638	462	32	2	34471	8779	0	648	NA	10	NA	114	NA	1035930	2199979	220904	strain	3	225 + 304 part	15,06178014
Minia3 k21-k241	109	84	75	54	34	4989230	4927651	4867218	4523774	3802828	117	250855	4995252	4677460	40,65	40,62	101121	110956	51235	62819	17	15	33	29	5	5	179143	1	0 + 5 part	307410	99,56	1,007	0	54,59	2	4451	4453	3998	705	107	224717	93764	95378	36577	46028	19	17	41	35	1036539	4677460	349514	uniq	3	5897 + 150 part	11,20845502
Minia3 k21-k241	25	20	20	19	15	2651893	2640664	2640664	2629612	2492106	26	646391	2652497	2659575	46,82	46,82	197882	197882	102288	102288	4	4	9	9	1	1	32376	0	0 + 0 part	0	99,726	1	0	0,45	0	2432	2432	2184	367	44	646391	197882	197882	102288	102288	4	4	9	9	1036554	2659575	8168678	uniq	3	5845 + 64 part	460,7133471
Minia3 k21-k241	716	184	39	1	0	2947389	1553093	548552	34381	0	877	34381	3066318	3184472	61,64	61,56	5017	4921	2929	2718	181	192	378	409	13	12	71920	0	0 + 1 part	119	96,101	1,003	0	8,1	0,07	3314	3314	2779	353	25	34381	5006	4894	2878	2677	182	194	382	414	1036608	3184472	122192	uniq	3	5037 + 1921 part	5,755679434
Minia3 k21-k241	139	96	79	31	11	2599957	2480187	2357642	1541458	806072	141	124969	2601735	2638923	27,69	27,72	33517	31605	18538	18110	23	24	51	52	22	18	572266	1	0 + 0 part	0	98,538	1,001	0	1,5	0,04	2607	2609	2176	328	28	96500	28559	28490	15004	14353	26	27	59	61	1036641	2638923	191369	uniq	3	5674 + 194 part	10,87767623
Minia3 k21-k241	301	0	0	0	0	375206	0	0	0	0	1890	2459	1448422	4060624	30,69	30,58	768	NA	617	NA	704	NA	1235	NA	19	19	21121	2	0 + 11 part	1791	35,519	1,003	0	22,95	0,55	2618	2619	1754	5	0	2459	758	0	613	NA	712	NA	1247	NA	1036707	4060624	72323	uniq	3	702 + 4099 part	2,671621406
Minia3 k21-k241	161	0	0	0	0	206763	0	0	0	0	1012	2298	782292	2032530	33,35	33,36	782	NA	609	NA	371	NA	657	NA	5	5	4556	0	0 + 5 part	1855	38,358	1,002	0	17,83	0,38	1518	1518	1047	2	0	2298	778	0	606	NA	373	NA	661	NA	1036728	2032530	37251	uniq	3	293 + 1884 part	2,749110714
Minia3 k21-k241	77	0	0	0	0	91190	0	0	0	0	1192	1870	809715	5216281	34,92	34,94	662	NA	570	NA	480	NA	811	NA	7	7	6829	1	0 + 6 part	3480	15,442	1,001	0	22,72	0,74	1507	1507	1065	0	0	1756	656	0	567	NA	486	NA	819	NA	1036743	5216281	73921	uniq	3	256 + 2789 part	2,125681113
Minia3 k21-k241	106	83	78	62	43	6438098	6390298	6354385	6079911	5373784	110	343050	6440573	6467702	54,94	54,95	121686	121686	71756	71104	17	17	34	35	14	13	976101	8	0 + 0 part	0	99,504	1,001	0	0,75	0,05	5345	5350	4802	998	137	343050	117130	113533	61990	61990	18	19	38	38	1036755	6467702	1342188	uniq	3	7124 + 146 part	31,12824308
Minia3 k21-k241	326	163	82	10	0	2368752	1932803	1359433	315989	0	356	41267	2390404	2431652	51,43	51,45	11016	10953	6159	5969	67	69	138	143	10	9	51221	2	0 + 0 part	0	98,135	1,002	0	6,83	0,42	2225	2225	1849	284	24	41267	10974	10952	6152	5880	68	70	139	144	1048783	2431652	107568	uniq	3	3458 + 587 part	6,63548896
Minia3 k21-k241	3	0	0	0	0	3060	0	0	0	0	268	1031	167532	3845825	35,09	35,25	622	NA	539	NA	115	NA	188	NA	1	1	1007	0	0 + 0 part	0	4,356	1,002	0	22,68	0,6	343	343	232	0	0	1031	620	0	539	NA	115	NA	188	NA	1048993	3845825	41609	uniq	3	41 + 599 part	1,622889757
