"Assembly"	"X..contigs.....1000.bp."	"X..contigs.....5000.bp."	"X..contigs.....10000.bp."	"X..contigs.....25000.bp."	"X..contigs.....50000.bp."	"Total.length.....1000.bp."	"Total.length.....5000.bp."	"Total.length.....10000.bp."	"Total.length.....25000.bp."	"Total.length.....50000.bp."	"X..contigs"	"Largest.contig"	"Total.length"	"Reference.length"	"GC...."	"Reference.GC...."	"N50"	"NG50"	"N75"	"NG75"	"L50"	"LG50"	"L75"	"LG75"	"X..misassemblies"	"X..misassembled.contigs"	"Misassembled.contigs.length"	"X..local.misassemblies"	"X..unaligned.contigs"	"Unaligned.length"	"Genome.fraction...."	"Duplication.ratio"	"X..N.s.per.100.kbp"	"X..mismatches.per.100.kbp"	"X..indels.per.100.kbp"	"X..predicted.genes..unique."	"X..predicted.genes.....0.bp."	"X..predicted.genes.....300.bp."	"X..predicted.genes.....1500.bp."	"X..predicted.genes.....3000.bp."	"Largest.alignment"	"NA50"	"NGA50"	"NA75"	"NGA75"	"LA50"	"LGA50"	"LA75"	"LGA75"	"gid"	"refLength"	"refMapping"	"group"	"assemblerGroup"	"assemblerRealName"	"cov"
"Gold_Standard_0"	98	70	51	33	15	2399538	2336257	2193203	1906328	1298128	98	158688	2399538	2399538	35.62	35.62	55305	"55305"	29280	"29280"	14	"14"	30	"30"	0	0	0	0	"0 + 0 part"	0	100	1	0	0	0	"2408"	"2414"	"2073"	"255"	"16"	158688	"55305"	55305	"29280"	"29280"	"14"	"14"	"30"	"30"	"1030782"	2399538	140200	"uniq"	"1"	"Gold Standard"	8.76418710601791
"Gold_Standard_0"	51	42	36	27	16	2385602	2367586	2322493	2171198	1766002	51	214551	2385602	2385602	46.6	46.6	102455	"102455"	46169	"46169"	8	"8"	17	"17"	0	0	0	0	"0 + 0 part"	0	99.717	1.003	287.01	0	0	"2469"	"2475"	"2023"	"294"	"35"	214551	"102455"	102455	"46169"	"46169"	"8"	"8"	"17"	"17"	"1030800"	2385602	1685	"uniq"	"1"	"Gold Standard"	0.105948100311787
"Gold_Standard_0"	34	23	20	19	17	4089718	4062662	4039638	4020213	3948067	34	722688	4089718	4089718	67.74	67.74	376675	"376675"	141943	"141943"	4	"4"	9	"9"	0	0	0	0	"0 + 0 part"	0	99.863	1.001	136.9	0	0	"3758"	"3763"	"3470"	"545"	"55"	722688	"375010"	375010	"141943"	"141943"	"4"	"4"	"9"	"9"	"1030806"	4089718	1201056	"uniq"	"1"	"Gold Standard"	44.0515458523057
"Gold_Standard_0"	62	58	52	42	23	3985519	3977341	3936349	3776668	3085253	62	359997	3985519	3985519	61.41	61.41	138365	"138365"	55349	"55349"	9	"9"	22	"22"	0	0	0	0	"0 + 0 part"	0	99.961	1	40.5	0	0	"3440"	"3448"	"3121"	"575"	"66"	359997	"138365"	138365	"55349"	"55349"	"9"	"9"	"22"	"22"	"1030812"	3985519	38838	"uniq"	"1"	"Gold Standard"	1.46171678017342
"Gold_Standard_0"	6	6	6	6	5	1534155	1534155	1534155	1534155	1506905	6	648970	1534155	1534155	35.98	35.98	362609	"362609"	209367	"209367"	2	"2"	3	"3"	0	0	0	0	"0 + 0 part"	0	100	1	0	0	0	"1516"	"1516"	"1333"	"180"	"22"	648970	"362609"	362609	"209367"	"209367"	"2"	"2"	"3"	"3"	"1030869"	1534155	614078	"uniq"	"1"	"Gold Standard"	60.0406738562922
"Gold_Standard_0"	20	20	17	15	14	3304362	3304362	3281819	3243492	3210392	20	691320	3304362	3304362	69.97	69.97	252323	"252323"	161326	"161326"	4	"4"	8	"8"	0	0	0	0	"0 + 0 part"	0	99.938	1.001	61.62	0	0	"3165"	"3170"	"2866"	"466"	"40"	691320	"252323"	252323	"161326"	"161326"	"4"	"4"	"8"	"8"	"1030881"	3304362	205056	"uniq"	"1"	"Gold Standard"	9.30842322965825
"Gold_Standard_0"	20	17	15	12	12	2985908	2978143	2963601	2921706	2921706	20	642308	2985908	2985908	64.53	64.53	427395	"427395"	163897	"163897"	3	"3"	6	"6"	0	0	0	0	"0 + 0 part"	0	100	1	0	0	0	"2906"	"2908"	"2579"	"418"	"34"	642308	"427395"	427395	"163897"	"163897"	"3"	"3"	"6"	"6"	"1030896"	2985908	5573028	"uniq"	"1"	"Gold Standard"	279.96649595366
"Gold_Standard_0"	17	15	14	13	12	3112020	3108938	3103853	3088060	3045239	17	649860	3112020	3112020	64.48	64.48	387648	"387648"	175879	"175879"	4	"4"	6	"6"	0	0	0	0	"0 + 0 part"	0	100	1	0	0	0	"2848"	"2863"	"2572"	"463"	"40"	649860	"387648"	387648	"175879"	"175879"	"4"	"4"	"6"	"6"	"1030905"	3112020	964204	"uniq"	"1"	"Gold Standard"	46.4748298532786
"Gold_Standard_0"	45	41	36	31	27	4635841	4628134	4592872	4490516	4334021	45	527261	4635841	4635841	45.15	45.15	165718	"165718"	117633	"117633"	9	"9"	17	"17"	0	0	0	0	"0 + 0 part"	0	99.855	1.001	145.26	0	0	"4091"	"4098"	"3681"	"628"	"55"	527261	"165718"	165718	"113907"	"113907"	"9"	"9"	"17"	"17"	"1030968"	4635841	246784	"uniq"	"1"	"Gold Standard"	7.98508835829357
"Gold_Standard_0"	40	31	29	22	19	2553407	2534743	2522999	2422091	2307044	40	304329	2553407	2553407	32.12	32.12	126600	"126600"	81411	"81411"	7	"7"	13	"13"	0	0	0	0	"0 + 0 part"	0	99.937	1.001	62.97	0	0	"2167"	"2171"	"1956"	"317"	"44"	304329	"126600"	126600	"81411"	"81411"	"7"	"7"	"13"	"13"	"1035906"	2553407	107740	"uniq"	"1"	"Gold Standard"	6.3291907635563
"Gold_Standard_0"	19	15	13	11	8	2814227	2801684	2785984	2758949	2634692	19	730213	2814227	2814227	33.35	33.35	502099	"502099"	210857	"210857"	3	"3"	5	"5"	0	0	0	0	"0 + 0 part"	0	99.893	1.001	106.99	0	0	"2705"	"2705"	"2436"	"364"	"29"	730213	"502099"	502099	"210857"	"210857"	"3"	"3"	"5"	"5"	"1035921"	2814227	359457	"strain"	"1"	"Gold Standard"	19.1592753534097
"Gold_Standard_0"	7	6	6	6	5	1600172	1598062	1598062	1598062	1565560	7	847308	1600172	1600172	31.26	31.26	847308	"847308"	355998	"355998"	1	"1"	2	"2"	0	0	0	0	"0 + 0 part"	0	100	1	0.62	0	0	"1434"	"1454"	"1320"	"235"	"29"	847308	"847308"	847308	"355998"	"355998"	"1"	"1"	"2"	"2"	"1035939"	1600172	158227	"uniq"	"1"	"Gold Standard"	14.8321867899201
"Gold_Standard_0"	85	66	60	39	15	2736206	2685994	2640146	2289363	1358507	85	196572	2736206	2736206	50.69	50.69	48229	"48229"	35593	"35593"	16	"16"	31	"31"	0	0	0	0	"0 + 0 part"	0	99.994	1	6.21	0	0	"2630"	"2648"	"2231"	"376"	"44"	196572	"48229"	48229	"35593"	"35593"	"16"	"16"	"31"	"31"	"1035951"	2736206	256063	"uniq"	"1"	"Gold Standard"	14.0374847507827
"Gold_Standard_0"	37	32	31	27	20	3611124	3599514	3591080	3529864	3257349	37	396527	3611124	3611124	40.5	40.5	215257	"215257"	113919	"113919"	6	"6"	13	"13"	0	0	0	0	"0 + 0 part"	0	99.924	1.001	76.57	0	0	"3165"	"3173"	"2808"	"490"	"75"	395239	"215132"	215132	"113919"	"113919"	"6"	"6"	"13"	"13"	"1035969"	3611124	538160	"uniq"	"1"	"Gold Standard"	22.3542586740306
"Gold_Standard_0"	29	24	24	20	14	2046131	2034422	2034422	1962275	1738490	29	281891	2046131	2046131	45.33	45.33	135844	"135844"	69350	"69350"	5	"5"	11	"11"	0	0	0	0	"0 + 0 part"	0	99.945	1.001	55.47	0	0	"1683"	"1689"	"1526"	"310"	"37"	280756	"135844"	135844	"69350"	"69350"	"5"	"5"	"11"	"11"	"1035981"	2046131	132229	"uniq"	"1"	"Gold Standard"	9.69358755622196
"Gold_Standard_0"	33	28	26	23	17	2791217	2779531	2763420	2706943	2470503	33	449029	2791217	2791217	28.57	28.57	145791	"145791"	92219	"92219"	6	"6"	12	"12"	0	0	0	0	"0 + 0 part"	0	99.929	1.001	70.76	0	0	"2704"	"2711"	"2377"	"354"	"27"	449029	"145791"	145791	"92219"	"92219"	"6"	"6"	"12"	"12"	"1035993"	2791217	168845	"uniq"	"1"	"Gold Standard"	9.07373020442338
"Gold_Standard_0"	63	50	44	37	21	2840943	2813343	2770922	2644476	2035080	63	181075	2840943	2840943	46.76	46.76	76541	"76541"	47065	"47065"	12	"12"	23	"23"	0	0	0	0	"0 + 0 part"	0	99.682	1.003	322.04	0	0	"2455"	"2463"	"2115"	"460"	"62"	181075	"76541"	76541	"45309"	"45309"	"12"	"12"	"24"	"24"	"1036011"	2840943	3080	"uniq"	"1"	"Gold Standard"	0.162622058943104
"Gold_Standard_0"	63	50	40	29	19	3583033	3552095	3479404	3281599	2898614	63	423113	3583033	3583033	35.66	35.66	126721	"126721"	76189	"76189"	8	"8"	17	"17"	0	0	0	0	"0 + 0 part"	0	99.92	1.001	35.86	0	0	"3475"	"3482"	"2936"	"431"	"48"	421394	"126721"	126721	"76189"	"76189"	"8"	"8"	"17"	"17"	"1036557"	3583033	44752	"uniq"	"1"	"Gold Standard"	1.87349656003726
"Gold_Standard_0"	142	100	82	38	12	2952162	2845266	2709622	1967172	1034163	142	143003	2952162	2952162	47.31	47.31	40854	"40854"	20570	"20570"	22	"22"	49	"49"	0	0	0	0	"0 + 0 part"	0	99.958	1	42.27	0	0	"3154"	"3161"	"2479"	"295"	"24"	143003	"39717"	39717	"20292"	"20292"	"22"	"22"	"50"	"50"	"1036566"	2952162	362833	"uniq"	"1"	"Gold Standard"	18.4356244677629
"Gold_Standard_0"	95	65	52	33	14	2489535	2421267	2329691	1974619	1285547	95	166012	2489535	2489535	51.06	51.06	59740	"59740"	27893	"27893"	14	"14"	30	"30"	0	0	0	0	"0 + 0 part"	0	99.92	1.001	80.7	0	0	"2105"	"2107"	"1879"	"283"	"29"	165477	"59009"	59009	"27893"	"27893"	"14"	"14"	"30"	"30"	"1036614"	2489535	254201	"uniq"	"1"	"Gold Standard"	15.3161735022805
"Gold_Standard_0"	154	114	78	30	10	2460837	2367382	2107661	1356557	702159	154	86522	2460837	2460837	29.64	29.64	27765	"27765"	14066	"14066"	26	"26"	57	"57"	0	0	0	0	"0 + 0 part"	0	99.9	1.001	100.01	0	0	"2478"	"2500"	"2076"	"280"	"22"	86522	"27765"	27765	"14066"	"14066"	"26"	"26"	"57"	"57"	"1036629"	2460837	261366	"uniq"	"1"	"Gold Standard"	15.9315306133645
"Gold_Standard_0"	35	30	28	22	16	3270841	3255844	3241756	3143104	2905409	35	812047	3270841	3270841	54.11	54.11	435266	"435266"	86991	"86991"	3	"3"	9	"9"	0	0	0	0	"0 + 0 part"	0	99.942	1.001	57.81	0	0	"3146"	"3153"	"2758"	"397"	"42"	812047	"433385"	433385	"86991"	"86991"	"3"	"3"	"9"	"9"	"1036635"	3270841	395820	"uniq"	"1"	"Gold Standard"	18.1522122292096
"Gold_Standard_0"	87	58	47	35	26	4474501	4412570	4336435	4140736	3792825	87	462339	4474501	4474501	29.32	29.32	151119	"151119"	76905	"76905"	9	"9"	19	"19"	0	0	0	0	"0 + 0 part"	0	99.993	1	6.82	0	0	"4242"	"4248"	"3654"	"572"	"45"	462339	"151119"	151119	"76905"	"76905"	"9"	"9"	"19"	"19"	"1036680"	4474501	588821	"uniq"	"1"	"Gold Standard"	19.739217847979
"Gold_Standard_0"	82	68	62	45	37	4836996	4806112	4759862	4481468	4180041	82	416491	4836996	4836996	39.66	39.66	119711	"119711"	66854	"66854"	14	"14"	28	"28"	0	0	0	0	"0 + 0 part"	0	100	1	0	0	0	"4100"	"4114"	"3716"	"729"	"58"	416491	"119711"	119711	"66854"	"66854"	"14"	"14"	"28"	"28"	"1036683"	4836996	343819	"uniq"	"1"	"Gold Standard"	10.6621651123962
"Gold_Standard_0"	21	18	17	16	15	3394420	3385191	3379605	3355336	3329638	21	863493	3394420	3394420	39.9	39.9	286711	"286711"	168281	"168281"	4	"4"	7	"7"	0	0	0	0	"0 + 0 part"	0	99.9	1.001	100.16	0	0	"3037"	"3052"	"2772"	"538"	"46"	863493	"286711"	286711	"168281"	"168281"	"4"	"4"	"7"	"7"	"1036695"	3394420	199382	"uniq"	"1"	"Gold Standard"	8.81072465988298
"Gold_Standard_0"	54	40	38	22	11	2233018	2199916	2187858	1926563	1525342	54	362981	2233018	2233018	27.84	27.84	90180	"90180"	38465	"38465"	6	"6"	15	"15"	0	0	0	0	"0 + 0 part"	0	100	1	0.9	0	0	"2249"	"2253"	"1923"	"288"	"26"	362981	"90180"	90180	"38465"	"38465"	"6"	"6"	"15"	"15"	"1036701"	2233018	564106	"uniq"	"1"	"Gold Standard"	37.8930666927002
"Gold_Standard_0"	78	68	61	44	24	4151980	4131595	4078158	3766098	3034903	78	377545	4151980	4151980	48.23	48.23	121810	"121810"	46235	"46235"	11	"11"	26	"26"	0	0	0	0	"0 + 0 part"	0	99.983	1	16.76	0	0	"3909"	"3914"	"3457"	"504"	"41"	377545	"121810"	121810	"45962"	"45962"	"11"	"11"	"26"	"26"	"1036704"	4151980	1776844	"uniq"	"1"	"Gold Standard"	64.1926502536139
"Gold_Standard_0"	56	41	36	24	17	2627109	2600691	2567899	2369949	2137373	56	391248	2627109	2627109	49.51	49.51	115768	"115768"	63389	"63389"	8	"8"	15	"15"	0	0	0	0	"0 + 0 part"	0	100	1	0.38	0	0	"2579"	"2580"	"2206"	"319"	"25"	391248	"115768"	115768	"63389"	"63389"	"8"	"8"	"15"	"15"	"1036716"	2627109	155220	"uniq"	"1"	"Gold Standard"	8.86259382461862
"Gold_Standard_0"	42	30	28	22	15	2473383	2445067	2427241	2327118	2055741	42	418326	2473383	2473383	28.57	28.57	124280	"124280"	83179	"83179"	7	"7"	12	"12"	0	0	0	0	"0 + 0 part"	0	99.993	1	7.48	0	0	"2366"	"2367"	"2045"	"316"	"34"	418326	"124280"	124280	"83179"	"83179"	"7"	"7"	"12"	"12"	"1036731"	2473383	160590	"uniq"	"1"	"Gold Standard"	9.73909014495531
"Gold_Standard_0"	19	17	16	14	12	2938633	2933931	2928291	2902078	2830119	19	1211899	2938633	2938633	28.63	28.63	424174	"424174"	181165	"181165"	2	"2"	5	"5"	0	0	0	0	"0 + 0 part"	0	99.97	1	31.72	0	0	"2663"	"2665"	"2426"	"337"	"37"	1211027	"424174"	424174	"181165"	"181165"	"2"	"2"	"5"	"5"	"1036782"	2938633	162055	"uniq"	"1"	"Gold Standard"	8.27195842420609
"Gold_Standard_0"	18	18	17	16	14	4983771	4983771	4977411	4961248	4869242	18	792747	4983771	4983771	60.5	60.5	500506	"500506"	381666	"381666"	4	"4"	7	"7"	0	0	0	0	"0 + 0 part"	0	99.946	1.001	54.42	0	0	"4609"	"4609"	"4167"	"678"	"81"	792747	"500391"	500391	"381666"	"381666"	"4"	"4"	"7"	"7"	"1036785"	4983771	3262285	"uniq"	"1"	"Gold Standard"	98.1872461635978
"Gold_Standard_0"	157	123	103	65	22	4131007	4049924	3907543	3276477	1766099	157	131188	4131007	4131007	66.67	66.67	43219	"43219"	26499	"26499"	29	"29"	59	"59"	0	0	0	0	"0 + 0 part"	0	100	1	0	0	0	"3692"	"3701"	"3263"	"576"	"98"	131188	"43219"	43219	"26499"	"26499"	"29"	"29"	"59"	"59"	"1036800"	4131007	226977	"uniq"	"1"	"Gold Standard"	8.24170716728391
"Gold_Standard_0"	27	18	18	17	17	5165242	5140892	5140892	5121655	5121655	27	1062706	5165242	5165242	67.84	67.84	567156	"567156"	189490	"189490"	4	"4"	7	"7"	0	0	0	0	"0 + 0 part"	0	100	1	0.19	0	0	"4442"	"4445"	"4082"	"661"	"81"	1062706	"567156"	567156	"189490"	"189490"	"4"	"4"	"7"	"7"	"1036803"	5165242	210484	"uniq"	"1"	"Gold Standard"	6.11251128214322
"Gold_Standard_0"	133	121	108	80	54	9745282	9717650	9630807	9157949	8207214	133	995723	9745282	9745282	69.05	69.05	141681	"141681"	83562	"83562"	18	"18"	41	"41"	0	0	0	0	"0 + 0 part"	0	99.993	1	7.49	0	0	"9213"	"9243"	"8066"	"1257"	"162"	995723	"141681"	141681	"83562"	"83562"	"18"	"18"	"41"	"41"	"1048861"	9745282	704100	"uniq"	"1"	"Gold Standard"	10.8375519559106
"Gold_Standard_0"	106	96	93	74	56	10810212	10794032	10771147	10417733	9764737	106	542883	10810212	10810212	68.95	68.95	199973	"199973"	103493	"103493"	17	"17"	36	"36"	0	0	0	0	"0 + 0 part"	0	99.95	1	50.42	0	0	"9804"	"9953"	"8937"	"1438"	"201"	542293	"199973"	199973	"103493"	"103493"	"17"	"17"	"36"	"36"	"1048870"	10810212	173930	"uniq"	"1"	"Gold Standard"	2.41341242891444
"Gold_Standard_0"	41	35	32	28	24	12276125	12263713	12239109	12151883	12019990	41	2203829	12276125	12276125	66.2	66.2	717233	"717233"	513643	"513643"	5	"5"	10	"10"	0	0	0	0	"0 + 0 part"	0	99.979	1	20.8	0	0	"10970"	"10983"	"9896"	"1595"	"257"	2203654	"716378"	716378	"513643"	"513643"	"5"	"5"	"10"	"10"	"1048885"	12276125	964000	"uniq"	"1"	"Gold Standard"	11.7789611950025
"Gold_Standard_0"	21	17	14	13	11	2958257	2950283	2933350	2919874	2843679	21	610028	2958257	2958257	32.24	32.24	318730	"318730"	147915	"147915"	4	"4"	7	"7"	0	0	0	0	"0 + 0 part"	0	99.972	1	18.79	0	0	"2617"	"2620"	"2447"	"461"	"68"	610028	"318730"	318730	"147915"	"147915"	"4"	"4"	"7"	"7"	"1048939"	2958257	1468994	"uniq"	"1"	"Gold Standard"	74.4861247687405
"Gold_Standard_0"	12	10	10	10	10	7410016	7404331	7404331	7404331	7404331	12	2376875	7410016	7410016	43.75	43.75	1384063	"1384063"	532140	"532140"	2	"2"	5	"5"	0	0	0	0	"0 + 0 part"	0	99.944	1.001	56.22	0	0	"6055"	"6056"	"5611"	"1228"	"262"	2375225	"1384063"	1384063	"532140"	"532140"	"2"	"2"	"5"	"5"	"1048942"	7410016	94996	"uniq"	"1"	"Gold Standard"	1.92299179920799
"Gold_Standard_0"	6	5	5	5	5	7241272	7239317	7239317	7239317	7239317	6	3248596	7241272	7241272	41.93	41.93	1413028	"1413028"	1073266	"1073266"	2	"2"	3	"3"	0	0	0	0	"0 + 0 part"	0	99.923	1.001	76.88	0	0	"5775"	"5779"	"5360"	"1208"	"275"	3243039	"1413028"	1413028	"1073266"	"1073266"	"2"	"2"	"3"	"3"	"1048945"	7241272	166474	"uniq"	"1"	"Gold Standard"	3.44844110261291
"Gold_Standard_0"	24	20	19	18	15	3668822	3659311	3653920	3640538	3550526	24	499662	3668822	3668822	66.54	66.54	314919	"314919"	199757	"199757"	5	"5"	8	"8"	0	0	0	0	"0 + 0 part"	0	99.955	1	45.46	0	0	"3505"	"3510"	"3129"	"499"	"48"	499572	"314919"	314919	"199757"	"199757"	"5"	"5"	"8"	"8"	"1048966"	3668822	316195	"strain"	"1"	"Gold Standard"	12.9276508917576
"Gold_Standard_0"	58	40	38	24	18	3685266	3647048	3631054	3405626	3211087	58	402835	3685266	3685266	60.09	60.09	172768	"172768"	125534	"125534"	7	"7"	13	"13"	0	0	0	0	"0 + 0 part"	0	99.869	1.001	119.58	0	0	"3520"	"3531"	"3172"	"442"	"39"	402835	"170741"	170741	"125534"	"125534"	"7"	"7"	"13"	"13"	"1048978"	3685266	53535	"uniq"	"1"	"Gold Standard"	2.17901502903725
"Gold_Standard_0"	25	20	18	17	13	3867412	3857591	3846168	3830436	3669760	25	868343	3867412	3867412	59.01	59.01	640514	"640514"	183048	"183048"	3	"3"	6	"6"	0	0	0	0	"0 + 0 part"	0	99.957	1	42.51	0	0	"3653"	"3657"	"3336"	"497"	"38"	868343	"640514"	640514	"182704"	"182704"	"3"	"3"	"6"	"6"	"1049011"	3867412	76819	"uniq"	"1"	"Gold Standard"	2.97947309466899
"Gold_Standard_0"	14	12	11	10	9	4506111	4503467	4494076	4477250	4449668	14	1303754	4506111	4506111	41.47	41.47	629807	"629807"	385300	"385300"	3	"3"	5	"5"	0	0	0	0	"0 + 0 part"	0	99.883	1.001	118.31	0	0	"3725"	"3725"	"3485"	"727"	"144"	1300665	"629807"	629807	"385300"	"385300"	"3"	"3"	"5"	"5"	"1049032"	4506111	325172	"uniq"	"1"	"Gold Standard"	10.8243671760416
"Gold_Standard_0"	29	15	12	11	11	3155334	3122939	3097562	3086509	3086509	29	882586	3155334	3155334	31.25	31.25	404321	"404321"	203218	"203218"	3	"3"	5	"5"	0	0	0	0	"0 + 0 part"	0	99.992	1	7.61	0	0	"2880"	"2882"	"2641"	"451"	"64"	882586	"404321"	404321	"203218"	"203218"	"3"	"3"	"5"	"5"	"1049035"	3155334	1645449	"uniq"	"1"	"Gold Standard"	78.2222579289546
"Gold_Standard_0"	44	36	35	31	27	5050264	5039444	5030054	4970734	4839713	44	540675	5050264	5050264	39.91	39.91	173303	"173303"	140281	"140281"	8	"8"	16	"16"	0	0	0	0	"0 + 0 part"	0	99.933	1.001	67.36	0	0	"4199"	"4212"	"3911"	"782"	"161"	540675	"173303"	173303	"140281"	"140281"	"8"	"8"	"16"	"16"	"1049083"	5050264	81615	"uniq"	"1"	"Gold Standard"	2.42408119654735
"Gold_Standard_0"	171	122	88	59	34	5484531	5383151	5145882	4683298	3797556	171	305736	5484531	5484531	65.48	65.48	86699	"86699"	41019	"41019"	18	"18"	42	"42"	0	0	0	0	"0 + 0 part"	0	99.899	1.001	100.77	0	0	"5223"	"5233"	"4487"	"677"	"65"	305736	"84037"	84037	"41019"	"41019"	"19"	"19"	"42"	"42"	"1052941"	5484531	1430239	"uniq"	"1"	"Gold Standard"	39.1165352151351
